config,fid,seed,reported_best,true_best,reached,crashed,real_evals,counted_evals,stage,gens,zero_hq_rows
published,8,4,-15026.954882836426,-15026.954882836426,False,,30081,25015,2,243,69
published,8,5,-15019.47187413415,-15019.47187413415,False,,30125,25045,2,236,69
published,8,6,-15026.709429914137,-15026.709429914137,False,,30047,25050,2,230,69
published,8,7,-20376.21067397325,-20376.21067397325,False,,29597,25135,2,1082,69
published,8,8,-20941.726733653613,-20941.726733653613,False,,29653,25055,2,209,69
published,8,9,-15022.44718260835,-15022.44718260835,False,,30023,25065,2,247,69
published,8,10,-15026.725709337943,-15026.725709337943,False,,30029,25115,2,224,69
published,8,11,-15027.221978226633,-15027.221978226633,False,,29962,25000,2,230,69
published,8,12,-17844.303559498843,-17844.303559498843,False,,29623,25155,2,206,69
published,8,13,-15024.801267074845,-15024.801267074845,False,,30147,25030,2,241,69
published,8,14,-20844.84475982742,-20844.84475982742,False,,29223,25055,2,197,69
published,8,15,-17590.717990268495,-17590.717990268495,False,,29340,25020,2,201,69
published,8,16,-15027.046642258785,-15027.046642258785,False,,30140,25070,2,232,69
published,8,17,-20937.487933575245,-20937.487933575245,False,,29725,25015,2,217,69
published,8,18,-15026.882041830231,-15026.882041830231,False,,30040,25035,2,1103,69
published,8,19,-15014.24243716506,-15014.24243716506,False,,30183,25055,2,246,69
published,8,20,-20949.053704784077,-20949.053704784077,False,,29246,25045,2,198,69
published,8,21,-15027.016387257598,-15027.016387257598,False,,29953,25040,2,235,69
published,8,22,-17887.956671710625,-17887.956671710625,False,,29638,25070,2,1085,69
published,8,23,-15027.175135106056,-15027.175135106056,False,,29905,25030,2,1097,69
published,8,24,-17806.807326474052,-17806.807326474052,False,,29923,25140,2,218,69
published,8,25,-15026.704439452038,-15026.704439452038,False,,30197,25140,2,1106,69
published,8,26,-15026.110470624819,-15026.110470624819,False,,30011,25095,2,1100,69
published,8,27,-15015.226155001645,-15015.226155001645,False,,30121,25110,2,1101,69
published,8,28,-15026.489135007987,-15026.489135007987,False,,30050,25000,2,231,69
published,8,29,-15026.294990919456,-15026.294990919456,False,,29893,25015,2,226,69
published,8,30,-15020.579496974009,-15020.579496974009,False,,30135,25150,2,1100,69
published,9,1,0.0,0.0,True,,185,150,1,30,0
published,9,2,0.0,0.0,True,,191,155,1,31,0
published,9,3,0.0,0.0,True,,197,160,1,32,0
published,9,4,0.0,0.0,True,,179,145,1,29,0
published,9,5,0.0,0.0,True,,179,145,1,29,0
published,9,6,0.0,0.0,True,,16935,13980,2,1045,69
published,9,7,0.0,0.0,True,,191,155,1,31,0
published,9,8,0.0,0.0,True,,173,140,1,28,0
published,9,9,0.0,0.0,True,,191,155,1,31,0
published,9,10,0.0,0.0,True,,197,160,1,32,0
published,9,11,0.0,0.0,True,,197,160,1,32,0
published,9,12,0.0,0.0,True,,191,155,1,31,0
published,9,13,0.0,0.0,True,,185,150,1,30,0
published,9,14,0.0,0.0,True,,185,150,1,30,0
published,9,15,0.0,0.0,True,,17190,14760,2,1043,69
published,9,16,0.0,0.0,True,,173,140,1,28,0
published,9,17,0.0,0.0,True,,16518,14060,2,1045,69
published,9,18,0.0,0.0,True,,334,275,1,55,0
published,9,19,0.0,0.0,True,,179,145,1,29,0
published,9,20,0.0,0.0,True,,173,140,1,28,0
published,9,21,0.0,0.0,True,,191,155,1,31,0
published,9,22,0.0,0.0,True,,191,155,1,31,0
published,9,23,0.0,0.0,True,,185,150,1,30,0
published,9,24,0.0,0.0,True,,191,155,1,31,0
published,9,25,0.0,0.0,True,,197,160,1,32,0
published,9,26,0.0,0.0,True,,167,135,1,27,0
published,9,27,0.0,0.0,True,,191,155,1,31,0
published,9,28,0.0,0.0,True,,185,150,1,30,0
published,9,29,0.0,0.0,True,,215,175,1,35,0
published,9,30,0.0,0.0,True,,185,150,1,30,0
published,10,1,4.440892098500626e-16,4.440892098500626e-16,False,,28131,25000,2,1075,69
published,10,2,4.440892098500626e-16,4.440892098500626e-16,False,,28388,25000,2,1075,69
published,10,3,4.440892098500626e-16,4.440892098500626e-16,False,,27979,25000,2,1075,69
published,10,4,4.440892098500626e-16,4.440892098500626e-16,False,,28180,25000,2,1075,69
published,10,5,4.440892098500626e-16,4.440892098500626e-16,False,,28177,25000,2,1075,69
published,10,6,4.440892098500626e-16,4.440892098500626e-16,False,,27949,25000,2,1075,69
published,10,7,4.440892098500626e-16,4.440892098500626e-16,False,,27890,25000,2,1075,69
published,10,8,4.440892098500626e-16,4.440892098500626e-16,False,,28083,25000,2,1075,69
published,10,9,4.440892098500626e-16,4.440892098500626e-16,False,,28162,25000,2,1075,69
published,10,10,4.440892098500626e-16,4.440892098500626e-16,False,,28023,25000,2,1075,69
published,10,11,4.440892098500626e-16,4.440892098500626e-16,False,,27964,25000,2,1075,69
published,10,12,4.440892098500626e-16,4.440892098500626e-16,False,,27856,25000,2,1075,69
published,10,13,4.440892098500626e-16,4.440892098500626e-16,False,,28039,25000,2,1075,69
published,10,14,4.440892098500626e-16,4.440892098500626e-16,False,,28023,25000,2,1075,69
published,10,15,4.440892098500626e-16,4.440892098500626e-16,False,,28189,25000,2,1075,69
published,10,16,4.440892098500626e-16,4.440892098500626e-16,False,,28090,25000,2,1075,69
published,10,17,4.440892098500626e-16,4.440892098500626e-16,False,,27929,25000,2,1075,69
published,10,18,4.440892098500626e-16,4.440892098500626e-16,False,,27928,25000,2,1075,69
published,10,19,4.440892098500626e-16,4.440892098500626e-16,False,,27996,25000,2,1075,69
published,10,20,4.440892098500626e-16,4.440892098500626e-16,False,,27925,25000,2,1075,69
published,10,21,4.440892098500626e-16,4.440892098500626e-16,False,,28182,25000,2,1075,69
published,10,22,4.440892098500626e-16,4.440892098500626e-16,False,,29793,25030,2,1092,69
published,10,23,4.440892098500626e-16,4.440892098500626e-16,False,,28032,25000,2,1075,69
published,10,24,4.440892098500626e-16,4.440892098500626e-16,False,,28033,25000,2,1075,69
published,10,25,4.440892098500626e-16,4.440892098500626e-16,False,,28348,25000,2,1075,69
published,10,26,4.440892098500626e-16,4.440892098500626e-16,False,,27904,25000,2,1075,69
published,10,27,4.440892098500626e-16,4.440892098500626e-16,False,,29955,25170,2,1093,69
published,10,28,4.440892098500626e-16,4.440892098500626e-16,False,,28311,25000,2,1075,69
published,10,29,4.440892098500626e-16,4.440892098500626e-16,False,,30078,25330,2,1091,69
published,10,30,4.440892098500626e-16,4.440892098500626e-16,False,,27918,25000,2,1075,69
published,11,1,0.0,0.0,True,,227,185,1,37,0
published,11,2,0.0,0.0,True,,227,185,1,37,0
published,11,3,0.0,0.0,True,,209,170,1,34,0
published,11,4,0.0,0.0,True,,215,175,1,35,0
published,11,5,0.0,0.0,True,,185,150,1,30,0
published,11,6,0.0,0.0,True,,197,160,1,32,0
published,11,7,0.0,0.0,True,,209,170,1,34,0
published,11,8,0.0,0.0,True,,227,185,1,37,0
published,11,9,0.0,0.0,True,,239,195,1,39,0
published,11,10,0.0,0.0,True,,233,190,1,38,0
published,11,11,0.0,0.0,True,,221,180,1,36,0
published,11,12,0.0,0.0,True,,215,175,1,35,0
published,11,13,0.0,0.0,True,,197,160,1,32,0
published,11,14,0.0,0.0,True,,227,185,1,37,0
published,11,15,0.0,0.0,True,,209,170,1,34,0
published,11,16,0.0,0.0,True,,197,160,1,32,0
published,11,17,0.0,0.0,True,,191,155,1,31,0
published,11,18,0.0,0.0,True,,203,165,1,33,0
published,11,19,0.0,0.0,True,,197,160,1,32,0
published,11,20,0.0,0.0,True,,203,165,1,33,0
published,11,21,0.0,0.0,True,,209,170,1,34,0
published,11,22,0.0,0.0,True,,221,180,1,36,0
published,11,23,0.0,0.0,True,,215,175,1,35,0
published,11,24,0.0,0.0,True,,209,170,1,34,0
published,11,25,0.0,0.0,True,,209,170,1,34,0
published,11,26,0.0,0.0,True,,203,165,1,33,0
published,11,27,0.0,0.0,True,,203,165,1,33,0
published,11,28,0.0,0.0,True,,197,160,1,32,0
published,11,29,0.0,0.0,True,,239,195,1,39,0
published,11,30,0.0,0.0,True,,203,165,1,33,0
published,12,1,0.03722643477079645,0.03722643477079645,False,,29729,25050,2,1140,69
published,12,2,0.0005470997775378107,0.0005470997775378107,False,,29827,25060,2,1140,69
published,12,3,7.608812880933397e-06,7.608812880933397e-06,False,,29777,25100,2,1113,69
published,12,4,0.019736185020912442,0.019736185020912442,False,,30138,25005,2,339,69
published,12,5,0.004199691359679204,0.004199691359679204,False,,30152,25005,2,278,69
published,12,6,0.005961964425042997,0.005961964425042997,False,,29729,25015,2,1127,69
published,12,7,0.001211024715044679,0.001211024715044679,False,,29764,25030,2,1133,69
published,12,8,0.0010818889666745276,0.0010818889666745276,False,,29748,25060,2,1127,69
published,12,9,0.0010696515306645956,0.0010696515306645956,False,,29800,25060,2,1130,69
published,12,10,0.00016083052454246794,0.00016083052454246794,False,,29735,25095,2,1119,69
published,12,11,7.084903796467787e-05,7.084903796467787e-05,False,,29573,25025,2,1104,69
published,12,12,0.005047449697027733,0.005047449697027733,False,,29789,25070,2,1121,69
published,12,13,0.0001609625091505914,0.0001609625091505914,False,,29706,25005,2,1125,69
published,12,14,0.0003714489742687698,0.0003714489742687698,False,,29646,25000,2,1119,69
published,12,15,0.034775192378931244,0.034775192378931244,False,,29716,25015,2,1135,69
published,12,16,0.0004147801371922702,0.0004147801371922702,False,,29707,25010,2,1143,69
published,12,17,0.00550020286375849,0.00550020286375849,False,,29760,25055,2,1128,69
published,12,18,0.0006262959636699377,0.0006262959636699377,False,,29613,25020,2,1108,69
published,12,19,0.03477067901606731,0.03477067901606731,False,,29766,25070,2,1125,69
published,12,20,0.0005566675985916354,0.0005566675985916354,False,,29703,25040,2,1129,69
published,12,21,0.00025519065211076206,0.00025519065211076206,False,,30155,25015,2,286,69
published,12,22,0.005268826199409975,0.005268826199409975,False,,29816,25085,2,1136,69
published,12,23,0.0016003635251261464,0.0016003635251261464,False,,29791,25090,2,1133,69
published,12,24,0.025993900132814354,0.025993900132814354,False,,29738,25055,2,1139,69
published,12,25,0.00035709460966695274,0.00035709460966695274,False,,30151,25015,2,315,69
published,12,26,0.0005824275882561331,0.0005824275882561331,False,,30138,25000,2,287,69
published,12,27,0.00043258186798392825,0.00043258186798392825,False,,30216,25065,2,270,69
published,12,28,5.7027499803709556e-05,5.7027499803709556e-05,False,,29841,25120,2,1117,69
published,12,29,0.00910086065989759,0.00910086065989759,False,,29728,25060,2,1134,69
published,12,30,0.0011781059109522759,0.0011781059109522759,False,,29617,25020,2,1115,69
published,13,1,0.20894831992385893,0.20894831992385893,False,,29724,25120,2,1111,69
published,13,2,0.14268810496098094,0.14268810496098094,False,,29730,25010,2,1135,69
published,13,3,0.05333804826243404,0.05333804826243404,False,,29985,25035,2,1114,69
published,13,4,0.005615355343824697,0.005615355343824697,False,,29867,25105,2,1119,69
published,13,5,0.04958757678381992,0.04958757678381992,False,,29842,25120,2,1120,69
published,13,6,0.15832621665988533,0.15832621665988533,False,,29776,25075,2,1117,69
published,13,7,0.024999474472248345,0.024999474472248345,False,,29707,25060,2,1115,69
published,13,8,0.0659868165131657,0.0659868165131657,False,,29839,25095,2,1121,69
published,13,9,0.04515470831678155,0.04515470831678155,False,,29746,25040,2,1123,69
published,13,10,0.008082843753094867,0.008082843753094867,False,,29719,25050,2,1128,69
published,13,11,0.011002841138357686,0.011002841138357686,False,,29836,25105,2,1117,69
published,13,12,0.040276235522227394,0.040276235522227394,False,,29709,25025,2,1136,69
published,13,13,0.12953885511453694,0.12953885511453694,False,,30162,25015,2,255,69
published,13,14,0.0003760763837121229,0.0003760763837121229,False,,29616,25000,2,1111,69
published,13,15,0.0059350954387285765,0.0059350954387285765,False,,29833,25115,2,1118,69
published,13,16,0.05847248638235909,0.05847248638235909,False,,29712,25080,2,1121,69
published,13,17,0.052607582927018906,0.052607582927018906,False,,29780,25065,2,1125,69
published,13,18,0.2722990966979034,0.2722990966979034,False,,29726,25035,2,1122,69
published,13,19,0.06175754881786061,0.06175754881786061,False,,29699,25000,2,1126,69
published,13,20,0.22585466981147176,0.22585466981147176,False,,29894,25120,2,1121,69
published,13,21,0.04924399714085004,0.04924399714085004,False,,30072,25020,2,258,69
published,13,22,0.005645804739538178,0.005645804739538178,False,,29782,25085,2,1111,69
published,13,23,0.005897171851427676,0.005897171851427676,False,,29774,25120,2,1116,69
published,13,24,0.029984556824314196,0.029984556824314196,False,,29734,25020,2,1119,69
published,13,25,0.05767710191619792,0.05767710191619792,False,,29758,25095,2,1117,69
published,13,26,0.03703336818889946,0.03703336818889946,False,,29785,25055,2,1118,69
published,13,27,0.00196824427923929,0.00196824427923929,False,,29677,25105,2,1112,69
published,13,28,0.002553956121751989,0.002553956121751989,False,,29857,25140,2,1109,69
published,13,29,0.011996504998462826,0.011996504998462826,False,,29819,25090,2,1123,69
published,13,30,0.19938943455984545,0.19938943455984545,False,,29739,25025,2,1118,69
published,14,1,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,2,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,3,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,4,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,5,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,6,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,7,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,8,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,9,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,10,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,11,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,12,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,13,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,14,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,15,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,16,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
published,14,17,nan,,False,F14 matches no case in the published switch,1,0,1,0,0
